id,Material,Thermal Conductivity,Thermal Diffusivity,Specific Heat Capacity,Thermal Effusivity,Material Density
0,1-dodecene,0.14,0.0856,2150,478.5,761
1,abs resin (high k),0.209,0.13,1506,572,1040
2,abs resin (low k),0.138,0.09,1506,465,1040
3,acetal resin (delrin),0.23,0.11,1464,692,1420
4,acetone,0.181,0.1,2160,556,790
5,acetylene,0.5,0.27,3000,960.5,615
6,acrylic (high k),0.251,0.15,1423,655,1200
7,acrylic (lucite plexiglass),0.152,0.1,1297,486,1200
8,actinium,12.552,9.9,126,3989,10100
9,air,0.025,19.4,1004,6,1.29
10,alkyd isocyanate foam,0.05,0.19,1674,116,160
11,allyl cast resins (high heat capacity),0.205,0.07,2343,790,1300
12,allyl cast resins (low heat capacity),0.205,0.15,1088,538,1300
13,alumina brick (Al2O3 53) (20 p),1.381,0.79,753,1557,2330
14,alumina brick (Al2O3 83) (28 p),1.506,0.78,753,1707,2570
15,alumina brick fused (Al2O3 96) (22 p),3.096,1.42,753,2600,2900
16,alumina brick high k (Al2O3 87) (22 p),2.929,1.37,753,2507,2850
17,alumina porcelain (high k),18.828,6.97,795,7134,3400
18,aluminum,225.94,91,921,23688,2698
19,aluminum (liquid),92.048,36,1084,15345,2360
20,aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,17127,2660
21,aluminum alloy (Al84.0 cast or tempd),83.68,35.3,879,14089,2700
22,aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,17256,2700
23,aluminum alloy (Al84.0 wrot or annld),146.44,61.7,879,18638,2700
24,aluminum alloy (Al90.0 cast or tempd),104.6,44.1,879,15752,2700
25,aluminum alloy (Al92.0 wrot or annld),167.36,70.6,879,19925,2700
26,aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,18638,2700
27,aluminum alloy (Al94.0 cast or tempd),125.52,52.9,879,17256,2700
28,aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,19925,2700
29,aluminum alloy (Al96.0 wrot or annld),188.28,79.4,879,21134,2700
30,aluminum alloy (Al96.5 cast or tempd),146.44,61.7,879,18638,2700
31,aluminum alloy (Al98.0 average trtmt),188.28,79.4,879,21134,2700
32,aluminum alloy (Al98.5 cast or tempd),167.36,70.6,879,19925,2700
33,aluminum alloy (Al99.0 average trtmt),209.2,88.2,879,22277,2700
34,aluminum alloy (Al99.0 wrot or annld),209.2,88.2,879,22277,2700
35,aluminum alloy (Al99.2 cast or tempd),188.28,79.4,879,21134,2700
36,aluminum alloy (Al99.8 cast or tempd),209.2,88.2,879,22277,2700
37,aluminum alloy 2024-5-t4 (annealed),175.73,75.5,837,20219,2780
38,aluminum alloy 2024-t4 and 24s-24 (ar),118.41,50.9,837,16597,2780
39,aluminum alloy 7075-t6 (annealed),163.18,69.6,837,19557,2801
40,aluminum alloy 7075-t6 (as received),121.34,51.8,837,16864,2801
41,aluminum alloy 7079,121.34,55.7,795,16258,2740
42,aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,9898,3540
43,aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),19.246,4.33,1255,9247,3540
44,aluminum nitride (AlN) (prs axis 98 d),35.146,15,732,9075,3200
45,aluminum oxide (Al2O3) (polyxtal 55 d),17.573,10.3,778,5485,2200
46,aluminum oxide + cr (Al2O3 23 Cr 77),46.024,15.5,502,11677,5900
47,aluminum oxide + cr (Al2O3 70 cr 30),9.205,2.49,628,5838,5900
48,aluminum oxide foam (Al2O3),0.042,0.11,778,128,500
49,aluminum oxide foam (Al2O3),5.23,3.54,778,2781,1900
50,aluminum silicate (3Al2O3.2SiO2) (100d),6.276,2.56,766,3921,3200
51,americium,12.552,8.55,126,4293,11700
52,ammonia (NH3) (gas),0.024,15.2,2084,6,0.771
53,ammonia (NH3) (liquid under pressure),0.05,0.02,4686,381,618
54,ammonium bromide (NH4Br),2.51,1.03,1004,2475,2430
55,ammonium chloride (NH4Cl),2.51,0.98,1678,2539,1530
56,analcite - sodium aluminum silicate hydrate (Na2O.Al2O3.4SiO2.4H2O),3.431,1.13,1339,3222,2260
57,andalusite - aluminum silicate (Al2O3.SiO2) (ortho xtal),11.004,4.55,770,5158,3140
58,aniline,0.17,0.08,2140,609.4,1021
59,antimony,18.41,13.3,207,5053,6696
60,antimony (liquid),20.92,12.6,255,5891,6500
61,antimony telluride (Sb2Te3),3.305,2.43,209,2120,6500
62,antimony telluride (sb2te3) (polyxtal),4.602,3.39,209,2502,6500
63,argon (gas),0.018,19.4,519,4,1.784
64,armco iron,74,20.24,850,22200,7860
65,arsenic grey,4.184,2.21,331,2815,5730
66,arsenic telluride (As2Te3) (v zone mlt),2.594,1.85,234,1910,6000
67,astitine,0.418,0.4,139,661,7500
68,balsa wood (across grain),0.05,0.17,2301,123,130
69,balsa wood (across grain),0.084,0.11,2301,248,320
70,baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,1017,2600
71,barium,33.472,50.8,188,4697,3500
72,barium boride (BaB6),44.769,8.22,1255,15615,4340
73,barium fluoride (BaF2) (single crystal),11.297,5.26,439,4926,4890
74,barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,1921,3240
75,barium sulfate (BaSO4) (crystal),1.674,0.56,669,2245,4500
76,barium titanate (BaO.TiO2) (+mn nb ox),1.297,0.5,439,1833,5900
77,barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2964,5900
78,barium titanate (bBaO.TiO2) (100 d),4.184,1.61,439,3293,5900
79,benzene,0.141,0.09,1700,459,879
80,berkelium,12.552,8.34,126,4348,12000
81,beryl - beryllium aluminosilicate (3BeO.Al2O3.6SiO2),6.276,1.89,1255,4569,2650
82,beryllium,184.1,54.1,1841,25027,1848
83,beryllium + beo (Be BeO 0.6-1.7),179.91,53.7,1820,24546,1840
84,beryllium alloy (Be96.5),142.26,43,1799,21700,1840
85,beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,24118,1840
86,beryllium alloy (Be98.5) (annealed),158.99,48.5,1799,22835,1823
87,beryllium alloy (Be98.5) (as received),133.89,40.8,1799,20955,1823
88,beryllium alloy (Be99.5),154.81,45.7,1841,22900,1840
89,beryllium carbide (Be2C) (hp or snt),23.43,7.84,1423,8368,2100
90,beryllium copper (Cu Bal Be 0.38-0.55),220.08,63.3,398,27667,8750
91,beryllium nitride (Be3Nn2) (prsd 3.4 kb),0.711,0.33,1255,1232,1700
92,beryllium oxide (BeO) (76 pc dens),138.07,57.4,1046,18225,2300
93,beryllium oxide (BeO) (96 pc dens),255.22,84.1,1046,27824,2900
94,beryllium oxide + be (BeO 3-12),209.2,67.5,1088,25469,2850
95,beryllium oxide + Be + Mo (Be 7 Mo 7),158.99,51.5,1038,22158,2975
96,beryllium oxide + Be + Si,192.46,63.5,1046,24162,2900
97,beryllium oxide porcelain (4811),125.52,43.1,1004,19117,2900
98,beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,2017,3100
99,bismuth,8.368,7.08,121,3146,9750
100,bismuth (liquid),10.878,7.64,142,3934,10000
101,bismuth telluride (Bi2Te3-P) (plane dr),2.51,2.11,154,1728,7700
102,bismuth telluride sulfide (Bi2Te2S),2.385,2,176,1688,6800
103,boride z cermet (ZrB2 81-87 MoSi2 13),20.92,8.01,502,7391,5200
104,borolite 101 cermet (ZrB2 93-96 B 4-7),27.614,11.3,460,8207,5300
105,boron,2.092,0.74,1130,2431,2500
106,boron carbide (B4C) (dense),28.451,12.9,921,7928,2400
107,boron carbide (B4C) (porous),17.154,9.32,921,5620,2000
108,boron nitride (Bn 80 C 20) (prs axis),19.037,14.8,795,4952,1620
109,boron nitride (bn 97 bn2o3 2) (prs ax),15.062,9.02,795,5015,2100
110,boron nitride (Bn 97 Bn2O3 2) (perp p),28.87,17.3,795,6943,2100
111,boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,7405,2100
112,boron nitride (BN) (prs axis 94 d),20.92,12.5,795,5910,2100
113,brass leaded,117.15,36.6,377,19365,8500
114,brass yellow (Cu65 Zn35),117.15,36.7,377,19331,8470
115,brass aluminum (Cu76 Zn22 Al2),100.42,31,377,18034,8600
116,brass cartridge (Cu70 Zn30),100.42,28,418,18976,8570
117,brass muntz metal,125.52,39.7,377,19927,8400
118,brass red cast (Cu85 Zn5 Pb5 Sn3),71.965,21.8,377,15399,8750
119,brass red wrought (Cu85 Zn15),146.44,44.4,377,21967,8750
120,brass tin (naval and admiralty),112.97,35.5,377,18972,8460
121,brick masonry medium,0.711,0.43,837,1091,2000
122,bromine,0.122,0.08,460,417,3100
123,bromine (gas),0.005,2.59,234,3,7.59
124,bronze phospher 1.25 percent,205.02,61.2,377,26214,8900
125,bronze tin (cast) high leaded,41.84,12.1,377,12040,9200
126,bronze aluminum (Cu92 Al8),71.128,23.9,377,14547,7900
127,bronze architectural,121.34,37.9,377,19708,8500
128,bronze manganese,104.6,33.2,377,18147,8360
129,bronze phospher 1.25 percent,205.02,61.2,377,26214,8900
130,bronze phospher 10 percent,50.208,15.2,377,12885,8780
131,bronze phospher 5 percent,71.128,21.3,377,15406,8860
132,bronze silicon high,33.472,10.4,377,10369,8530
133,bronze silicon low,54.392,16.5,377,13388,8750
134,bronze tin (cast) leaded,50.208,15.3,377,12826,8700
135,butadiene-acrylonitrile rubber + c,0.418,0.22,1443,899,1340
136,butyl rubber,0.088,0.05,1966,394,900
137,cadmium,92.048,46.3,230,13535,8650
138,cadmium (liquid),34.727,16.5,264,8558,8000
139,calcium,125.52,123,657,11305,1550
140,calcium boride (CaB6),39.162,12.7,1255,10996,2460
141,calcium carbonate - calcite (CaCO3) (a axis),3.849,1.7,837,2955,2710
142,calcium carbonate - calcite (CaCO3) (c axis),4.393,1.94,837,3156,2710
143,calcium carbonate (CaCO3) (natural),2.259,1.04,837,2221,2610
144,calcium fluoride (CaF2) (mineral aggr),4.017,1.08,1167,3861,3180
145,calcium fluoride (CaF2) (single xtal),9.623,2.59,1167,5976,3180
146,calcium oxide (CaO) (packed pwd 50 d),0.318,0.25,753,638,1700
147,calcium oxide (CaO) (pressed 91 dens),13.807,6.05,753,5613,3030
148,calcium titanate (cao.tio2),4.602,1.54,728,3706,4100
149,californium,12.552,8.34,126,4348,12000
150,carbon amorphous (carbon stock),6.276,5.88,707,2589,1510
151,carbon diamond gem quality type 1,543.92,306,506,31090,3510
152,carbon graphite (typical k),167.36,105,707,16318,2250
153,carbon monoxide,0.023,17.9,1046,6,1.25
154,carbon tetrachloride,0.11,0.0824,840,383.2,1590
155,castor oil,0.181,0.1,1800,558,956
156,cellulose acetate (high k),0.335,0.18,1464,798,1300
157,cellulose acetate (low k),0.167,0.09,1464,564,1300
158,cellulose acetate butyrate (high k),0.335,0.19,1464,767,1200
159,cellulose acetate butyrate (low k),0.167,0.1,1464,542,1200
160,cellulose nitrate (pyroxylin),0.23,0.11,1464,682,1380
161,cellulose proprionate (high k),0.335,0.19,1464,767,1200
162,cellulose proprionate (low k),0.167,0.1,1464,542,1200
163,cellulose triacetate,0.251,0.13,1464,691,1300
164,cerium,10.878,8.32,193,3771,6790
165,cerium boride (CeB6) (99.0 pc dense),33.89,11.5,628,9998,4700
166,cerium oxide (CeO2),11.715,5.46,352,5012,6100
167,cerium sulfide (Ce2S3),0.586,0.33,343,1022,5200
168,cerium sulfide (ces),8.368,4.82,293,3812,5930
169,cesium,41.84,97.2,230,4243,1870
170,cesium (liquid),25.104,54.4,251,3405,1840
171,chalk (avg prop),0.837,0.59,921,1089,1540
172,chloroform,0.13,0.0891,980,435.5,1489
173,chrome alum (Cr2(SO4)3.K2SO4.24H2O),2.092,0.86,1339,2262,1826
174,chrome brick (Cr2O3 32),1.172,0.58,628,1534,3200
175,chrome magnesite brick,2.092,0.93,753,2174,3000
176,chrome-nickel-iron superalloys,23.43,6.67,439,9074,8000
177,chromium,87.864,27.4,448,16782,7160
178,chromium carbide + ni (Cr(x)C(y) Ni),11.297,3.36,502,6165,6700
179,chromium copper (Cu Bal Cr0.5),326.35,97.6,377,33036,8880
180,chromium nitride (Cr2N),22.594,5.54,628,9601,6500
181,chromium nitride (CrN),12.134,2.85,699,7191,6100
182,chromium silicide (CrSi2),7.95,3.22,494,4430,5000
183,cobalt,84.935,22.7,423,17833,8860
184,cobalt alloy (Co64 Cr30 W6),12.552,3.56,418,6658,8440
185,cobalt alloy he-1049,14.644,4.71,352,6748,8846
186,cobalt alloy hs-21 (aged),32.635,9.3,423,10699,8300
187,cobalt alloy hs-21 (as cast),12.552,3.58,423,6635,8300
188,cobalt alloy hs-23,13.389,3.75,418,6917,8540
189,cobalt alloy hs-25 (l-605) (wrought),9.205,2.61,385,5694,9150
190,cobalt alloy hs-27 (cast),11.171,3.25,418,6195,8210
191,cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,6606,8310
192,cobalt alloy hs-31 (x-40) (as cast),12.552,3.48,418,6724,8610
193,cobalt alloy hs-36 (cast),9.372,2.69,385,5711,9040
194,cobalt alloy j-1570,10.042,2.86,418,5941,8400
195,cobalt alloy jessop g-32,14.644,4.24,418,7114,8260
196,cobalt alloy k-42b,12.552,3.57,418,6642,8400
197,cobalt alloy multimet (n-155) (low c),16.318,4.57,435,7637,8215
198,cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,6809,8215
199,cobalt alloy s-590 (wrought),12.97,3.71,418,6731,8350
200,cobalt alloy s-816 (wrought),12.97,3.57,418,6863,8680
201,cobalt alloy v-36 (wrought),12.552,3.49,418,6720,8600
202,cobalt alloy wi-52 (cr coated sample),19.665,5.6,418,8313,8400
203,cobalt alloy wi-A664:G67052,25.104,7.14,418,9393,8400
204,cobalt oxide (CoO),10.042,2.21,703,6753,6460
205,cobalt silicide (cos),9.623,2.49,586,6100,6600
206,colombium alloy (Bb80 W15 Mo5),50.208,21.2,247,10909,9600
207,colombium alloy (Cb61 Ta28 W10 Zr0.5),44.769,20.8,201,9808,10700
208,colombium alloy (Cb85 Ti10 Zr5),29.288,14.8,255,7621,7770
209,colombium alloy (Cb95 Ta5),44.769,19.8,251,10056,9000
210,commercial bronze (Cu75 Sn25),188.28,56.8,377,24979,8800
211,composition b-3 h.e. (rdx 60 tnt 40),0.262,0.11,1356,783,1725
212,composition c-4 h.e. (rdx 90 binders),0.26,0.14,1172,696,1590
213,concrete 1-4 dry,0.753,0.5,657,1067,2300
214,concrete cinder,0.335,0.32,657,593,1600
215,concrete lightweight,0.209,0.34,657,361,950
216,concrete stone (1-2-4 mix),1.046,0.69,657,1257,2300
217,copper,397.48,116,385,36983,8940
218,copper alloy - cupronickel (Cu70 Ni30),29.288,8.74,377,9908,8900
219,copper alloy (110),390,113,385,36576,8910
220,copper alloy (Cu Bal Be 1.7-1.9),108.78,33.1,398,18899,8260
221,copper alloy (Cu99.4 Al0.3 Zr0.27),217.57,64.9,377,27004,8900
222,copper alloy constantan (Cu55 Ni45),22.175,6.28,398,8852,8890
223,copper alloy manganin (Cu84 Ni4 Mn12),22.175,6.77,377,8524,8700
224,copper alloy nickel silver (Ni 10-20),33.472,10.1,377,10532,8800
225,copper gilding metal (Cu95 Zn5),230.12,69,377,27694,8850
226,copper lithium oxide (96CuO.4LiO),15.272,3.62,669,8025,6300
227,copper oxide (CuO) (tenorite),17.991,5.17,536,7914,6500
228,copper sulfate (CuSO4) (crystal),2.092,0.77,753,2384,3606
229,copper sulfate hydrate (CuSO4.5H2O),2.259,0.84,1172,2459,2284
230,copper wrought,376.56,112,377,35526,8900
231,copy paper,0.0904,0.08771,1260,305,818
232,cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1899,2100
233,cork ground,0.043,0.14,2008,114,150
234,cork ground regranulated,0.045,0.17,2008,108,130
235,cupronickel (Cu90 Ni10),41.84,12.5,377,11842,8900
236,curium,12.552,14.3,126,3321,7000
237,cyclohexane,0.13,0.0898,1860,433.8,778
238,cypress wood (across grain),0.096,0.09,2301,319,460
239,dandelion,7.699,2.86,418,4551,6430
240,datb h.e. (diamino trinitrobenzene),0.251,0.11,1255,752,1795
241,decane,0.15,0.1027,2000,468.1,730
242,deuterium,0.14,110,7113,13,0.18
243,deuterium oxide (D2O) (liquid),0.561,0.12,4205,1610,1100
244,diabasic glass (artificial),1.172,0.65,753,1455,2400
245,diallyl phthalate (dapon),0.305,0.16,1130,755,1650
246,diatomaceous earth brick (accr strata),0.088,0.25,795,175,440
247,diatomaceous earth brick (high burn),0.226,0.48,795,326,590
248,diatomaceous earth brick (molded frd),0.243,0.5,795,343,610
249,diatomaceous earth brick (prll strata),0.138,0.4,795,220,440
250,diatomaceous earth brick (use to 1100C),0.222,0.47,795,325,600
251,diatomaceous earth brick (use to 850c),0.092,0.26,795,179,440
252,diesel,0.151,0.09,1900,491,840
253,di-nitrogen tetroxide,0.29,0.1299,1550,804.6,1440
254,dolomite - calcium magnesium carbonate (CaMg(CO3)(avg prop),2.929,1.18,921,2698,2700
255,dolomite brick stabilized (22 p),1.674,0.74,837,1945,2700
256,dysprosium,10.042,6.78,173,3858,8556
257,egyptian firebrick (64-71 wt% SiO2),0.314,0.45,732,467,950
258,einsteinium,12.552,8.34,126,4348,12000
259,epoxy glass fiber filled (molded),0.167,0.11,795,503,1900
260,epoxy der 332 (c) hysol 6000-op (k),0.195,0.14,1172,525,1210
261,epoxy silica filled cast,0.628,0.35,1004,1065,1800
262,epoxy unfilled cast,0.188,0.15,1046,486,1200
263,erbium,9.623,6.33,168,3825,9060
264,etbe (ethyl tert-butyl ether),0.14,0.0824,2207,487.7,770
265,ethanol,0.18,0.0934,2440,588.9,790
266,ether (diethyl ether),0.14,0.0866,2260,475.7,715
267,ethyl cellulose (wide range of c k),0.23,0.1,2092,744,1150
268,ethyl vinyl acetate,0.075,0.03,2301,456,1200
269,ethylene glycol,0.249,0.09,2386,814,1115
270,ethylene glycol 30%,0.484,0.12,3714,1365,1037
271,ethylene glycol 50%,0.425,0.12,3287,1215,1056
272,europium,12.552,13.5,176,3419,5300
273,europium boride (EuB6) (93.0 pc dense),23.012,7.97,628,8151,4600
274,expanded polystyrene foam (NIST 1453),0.033,0.77,1130,38,38
275,extruded polystyrene foam,0.029,0.773,1200,25,29
276,fermium,12.552,8.34,126,4348,12000
277,fiberfax paper,0.03,0.13,732,84,324
278,Fibrous glass board (NIST 1450d),0.0325,0.2323,1093,67,128
279,fireclay brick (22 p),1.297,0.9,732,1371,1980
280,fired carbon brick,3.598,3.46,707,1934,1470
281,flint glass,0.753,0.63,502,953,2400
282,fluorine (gas),0.026,19.1,816,6,1.696
283,fluorocarbons cfe and ctfe,0.251,0.13,921,700,2120
284,fluorocarbons fep,0.251,0.1,1172,805,2200
285,fluorocarbons tfe (teflon),0.251,0.12,1004,740,2170
286,foamed glass,0.035,0.32,753,61,144
287,forsterite - magnesium silicate (2MgO.SiO2) (100 pc dense),5.858,2.19,837,3960,3200
288,forsterite brick (MgO 58 SiO2 38)(20 p),1.004,0.46,795,1484,2760
289,forsterite ceramics,5,2.137,780,3420,3000
290,francium,12.552,7.35,142,4630,12000
291,fused quartz silica glass (SiO2),1.381,0.84,745,1504,2200
292,gadolinium,8.786,4.85,230,3989,7870
293,gadolinium boride (GdB6) (95.6 pc dens),20.502,6.53,628,8021,5000
294,gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,4717,7640
295,gallium,33.472,15.2,372,8581,5907
296,gallium (liquid),33.472,13.8,399,9015,6090
297,gasoline,0.151,0.09,2100,488,750
298,germanium (intrinsic p-type),58.576,34.1,322,10025,5325
299,germanium (n-type),58.576,34.1,322,10025,5325
300,glass (avg prop),1.046,0.54,837,1419,2300
301,glass borosilicate crown,1.046,0.62,669,1328,2520
302,glycerol,0.271,0.08,2400,906,1262
303,gold,317.98,129,128,28027,19300
304,gold (liquid),167.36,65.4,149,20699,17240
305,granite (avg prop),2.51,1.13,837,2359,2650
306,granite (high k),3.975,1.79,837,2969,2650
307,granite (low k),1.715,0.77,837,1950,2650
308,Graphite Sheet 100 um (in-plane),700,968,850,22489,850
309,Graphite Sheet 25 um (in-plane),1600,896,850,53442,2100
310,Graphite Sheet 70 um (in-plane),800,855,850,27350,1100
311,gypsum - calcium sulfate dihydrate (CaSO4.4H2O),1.297,0.51,1088,1809,2320
312,gypsum (CaCO4 4H2O) (artificial),0.753,0.33,1088,1315,2110
313,hafnium,22.175,11.8,142,6454,13200
314,hafnium boride (HfB2),41.84,14.9,251,10845,11200
315,hafnium carbide (HfC),29.288,12.3,188,8336,12600
316,hafnium nitride (HfN),11.715,5.16,209,5157,10850
317,hafnium oxide (HfO2) (monoc) (94 d),1.674,0.68,272,2035,9100
318,hard fired silica brick (SiO2 94-95),1.674,1.24,753,1506,1800
319,helium (gas),0.15,164,5188,12,0.177
320,hematite (Fe2O3),12.552,3.82,628,6425,5240
321,holmium,10.042,6.9,165,3822,8800
322,hydrazine,0.57,0.1832,3080,1331.7,1010
323,hydrogen,0.12,0.1943,8700,272.2,71
324,hydrogen (gas),0.186,145,14230,15,0.0899
325,indium,23.43,13.5,239,6387,7300
326,indium (liquid),43.932,23.5,266,9065,7030
327,indium antimonide (InSb) (imp 0.16),16.318,10.7,218,4986,7000
328,indium antimonide (insb) (imp 0.33-1.2),71.128,46.7,218,10409,7000
329,indium arsenide (inas) (polyx imp 3.0),52.718,35,251,8910,6000
330,indium arsenide (inas) (pure s-doped),26.778,17.8,251,6350,6000
331,indium telluride (In2Te3),1.255,1.35,201,1080,4629
332,iodine (solid),0.004,0,218,68,4930
333,iridium,146.44,50.2,130,20672,22500
334,iron ductile (0.06 mg),33.472,9.79,460,10698,7430
335,iron grey cast pearlitic (3.4 c),58.576,17.7,460,13922,7190
336,iron ni-resist type d2 (cast),13.389,3.93,460,6757,7410
337,iron wrought (various),58.576,16.5,460,14407,7700
338,iron (0 to 3000 deg c),71.965,20.4,448,15924,7870
339,iron (-273 to 763 deg c),71.965,20.4,448,15924,7870
340,iron (-51 to 1537 deg c),71.128,20.2,448,15831,7870
341,iron ductile,28.87,8.71,460,9781,7200
342,iron ductile (Mg containing),33.054,9.98,460,10465,7200
343,iron grey cast ferritic (2.3-3.0 c),50.208,15.2,460,12889,7190
344,iron grey cast ferritic (3.2-3.8 c),71.128,21.5,460,15341,7190
345,iron grey cast pearlitic (2.3-3.0 c),41.84,12.6,460,11766,7190
346,iron grey cast pearlitic (3.0-3.2 c),50.208,15.2,460,12889,7190
347,iron grey cast pearlitic (3.7-3.8 c),66.944,20.2,460,14883,7190
348,iron grey cast pearlitic (4.12 c),79.496,24,460,16218,7190
349,iron ingot (fe99.9+),71.128,20.2,448,15831,7870
350,iron malleable (2.5 c),51.045,13.5,527,13920,7200
351,iron ni-hard types 1 and 2 (kovar),14.226,4.02,460,7100,7700
352,iron ni-resist type 3 (cast),39.33,11.6,460,11573,7400
353,iron ni-resist type 4 (cast),37.656,10.1,502,11828,7400
354,iron ni-resist types 1 and 2 (cast),39.748,11.8,460,11556,7300
355,iron ni-tensyliron (cast heat treat),46.024,13.9,460,12349,7200
356,iron nodular cast ferritic base,37.656,11.4,460,11170,7200
357,iron nodular cast pearlitic base,37.656,11.4,460,11170,7200
358,iron oxide - hematite (Fe2O3),12.552,3.82,628,6425,5240
359,iron oxide - magnatite (FeO.Fe2O3),5.021,1.48,653,4128,5200
360,iron sulfide (FeS2) (single crystal),37.907,13.6,557,10270,5000
