id,Material,Thermal Conductivity,Thermal Diffusivity,Specific Heat Capacity,Thermal Effusivity,Material Density
714,quartz flour fine (H2O 21 pc),2.218,0.83,1464,2431,1820
715,quartz powder coarse (H2O 24),1.13,0.38,1590,1833,1870
716,r12 (dichlorofluoromethane),0.07,0.0531,886,303.8,1488
717,r134a (tetrafluoroethane),0.1,0.0566,1280,420.3,1380
718,r410a,0.17,0.0921,1368,560.2,1350
719,radium,12.552,22.1,113,2668,5000
720,radon gas,0.004,4.59,94,2,9.73
721,rattan,4.184,0.52,540,5820,15000
722,rhenium,60.668,20.9,138,13264,21000
723,rhodium,150.62,50.1,243,21291,12400
724,rock or stone (average properties),1.757,0.81,837,1955,2600
725,rubber dielectric mix,0.209,0.09,2092,694,1100
726,rubber high k,0.293,0.13,2092,821,1100
727,rubber natural,0.138,0.07,2092,518,930
728,rubber natural foam,0.042,0.2,2092,94,100
729,rubidium,50.208,88.9,377,5326,1500
730,rubidium (liquid),29.288,51.6,385,4078,1475
731,rubidium chloride (RbCl),2.092,1.73,431,1589,2800
732,rubidium iodide (RbI),3.305,3.97,234,1658,3550
733,ruthenium,104.6,36.6,234,17291,12200
734,samarium,12.552,9.3,180,4115,7500
735,samarium boride (SmB6) (96.8 pc dense),13.807,4.49,628,6516,4900
736,samarium sulfide (sms),3.766,2.14,293,2575,6010
737,sand (dry) (avg prop),0.335,0.28,753,635,1600
738,sand northway (H2O 4-10) (avg prop),0.837,0.59,837,1091,1700
739,sandstone (avg prop),2.51,1.13,962,2357,2300
740,sandstone (high density),4.184,1.67,962,3235,2600
741,sandstone (low density),1.841,0.87,962,1974,2200
742,sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,10919,3980
743,sapphire - aluminum oxide (Al2O3) (single xtal),43.932,14.2,778,11665,3980
744,scandium,12.552,7.58,552,4560,3000
745,selenium (grey),0.753,0.49,322,1078,4790
746,shale (avg prop),1.674,0.83,837,1833,2400
747,siliceous brick (SiO2 89 Al2O3 9),0.937,0.65,753,1167,1930
748,siliceous fireclay brick (23 p),1.088,0.72,753,1280,2000
749,silicon,125.52,76.6,703,14338,2330
750,silicon boride (SiB4),9.832,3.82,1046,5030,2460
751,silicon carbide (SiC) (brick Al2O3 1.7),11.715,6.89,678,4464,2510
752,silicon carbide (SiC) (carbofrax brick),21.757,11.9,678,6310,2700
753,silicon carbide (SiC) (foam in vacuum),0.105,0.34,678,181,460
754,silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,9178,2700
755,silicon carbide (SiC) (kt grade),179.91,85.6,678,19443,3100
756,silicon carbide (SiC) (nitride bonded),41.84,23.2,678,8685,2660
757,silicon carbide (SiC) (powder in air),0.251,0.23,678,519,1585
758,silicon carbide (SiC) (powder),0.69,0.64,678,861,1585
759,silicon carbide (SiC) (refractory d-30),41.84,22.9,678,8750,2700
760,silicon carbide (SiC) (rextal 65-70d),18.41,13.1,678,5082,2070
761,silicon carbide (SiC) (rextal 80-100d),51.882,26.4,678,10099,2900
762,silicon carbide (SiC) (single xtal),87.864,40.4,678,13826,3210
763,silicon carbide (SiC) (single xtal),489.53,225,678,32636,3210
764,silicon carbide (SiC) (slf bnd he atm),167.36,79.7,678,18752,3100
765,silicon carbide + si (SiC 76 Si 24),60.668,29,837,11266,2500
766,silicon nitride (Si3N4) (70 pc dense),1.548,1.02,690,1533,2200
767,silicon nitride (Si3N4) (85 pc dense),7.95,4.11,690,3920,2800
768,silicon oxide (SiO2) (foam 1 atm air),0.055,0.46,745,81,160
769,silicon oxide (SiO2) (quartz c axis),11.715,5.87,753,4835,2650
770,silicon telluride (site),6.276,4.78,335,2870,3920
771,silicone molded various fillers,0.167,0.09,1046,561,1800
772,silicone DMS-10,0.11,0.06,1800,434,950
773,silicone foam flexible (lrl),0.167,0.5,1339,237,250
774,silicone foam rigid various,0.084,0.21,1339,183,300
775,silicone rubber (medium k),0.335,0.21,1255,739,1300
776,silicone rubber (rtv 521 and 093-009),0.272,0.16,1255,691,1400
777,silicone rubber high k,0.753,0.46,1255,1108,1300
778,silicone rubber low k,0.138,0.08,1255,475,1300
779,sillimanite brick (22 pc porosity),1.464,0.89,711,1551,2310
780,silver,426.77,172,236,32520,10500
781,silver (liquid),251.04,93.5,289,25962,9300
782,silver alloys sterling and coin,359.82,137,251,30795,10500
783,silver antimony telluride (SnTe 25 pc),0.983,0.72,209,1156,6500
784,silver chloride (AgCl) (single crystal),1.134,0.57,356,1497,5560
785,silver selenide (Ag2Se),0.837,0.37,280,1370,8000
786,slate (avg prop),1.883,0.82,837,2085,2760
787,snow (fresh),0.105,0.5,2092,148,100
788,snow (packed),0.469,0.41,2092,734,550
789,soda plate glass,1.213,0.65,753,1511,2500
790,soda-lime glass,1.339,0.77,753,1523,2300
791,sodium,133.89,114,1213,12551,970
792,sodium (liquid),84.517,65.8,1381,10419,930
793,sodium bromide (NaBr),2.51,1.54,510,2026,3203
794,sodium chlorate (NaClO3) (crystal),1.13,0.49,921,1609,2490
795,sodium chloride (NaCl 50),7.113,4.46,770,3367,2070
796,sodium chloride (NaCl) (clear crystal),8.159,4.33,870,3921,2165
797,sodium chloride (NaCl) (opaque impure),5.523,2.93,870,3226,2165
798,sodium fluoride (NaF),10.502,3.69,1113,5468,2558
799,soil (av props),0.837,0.62,1046,1067,1300
800,soil clay (wet),1.506,0.34,2929,2572,1500
801,soil loam (dry) (avg prop),0.251,0.25,837,502,1200
802,soil loam (H2O 4-27 pc),0.418,0.25,1046,837,1600
803,soil sandy (H2O 8),0.586,0.33,1004,1014,1750
804,soil sandy dry,0.264,0.2,795,588,1650
805,solder - tin alloy (Pb39.2 Sn60.8),50.208,30,197,9160,8500
806,solder (Pb50 Sn50),46.024,24.3,213,9344,8890
807,sp-1 polyimide resin (vespel),0.35,0.25,1130,1430,752
808,spinel (MgO.Al2O3) (single crystal),14.226,4.87,812,6447,3600
809,spruce wood (across grain),0.126,0.24,1255,254,410
810,spruce wood (with grain),0.23,0.45,1255,344,410
811,steam (H2O) (gas) (1 atm),0.023,19.9,1966,5,0.598
812,steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2899,3000
813,steel stainless 446,22.928,6.56,460,8955,7600
814,steel stainless cf (cast),16.108,4.14,502,7917,7750
815,steel alloy 8620 (cast),46.024,12.8,460,12878,7830
816,steel alloy and mild (4130 4340),41.84,10.8,502,12760,7750
817,steel carbon type 1020 (0.2 - 0.6 c),71.128,19.7,460,16040,7860
818,steel free cutting eutectoid,46.024,12.8,460,12878,7830
819,steel high speed (m1 m10 m-2 ti),35.564,9.42,460,11585,8200
820,steel multimet (n-155) (wrought),12.97,3.63,435,6809,8215
821,steel stainless (Cr 12-13 Ni 0-3),23.43,7.01,431,8847,7750
822,steel stainless (Cr 16-26 Ni 8-36),14.644,3.65,502,7670,8000
823,steel stainless 17-4ph,14.644,5.65,335,6163,7750
824,steel stainless 17-7ph,16.736,6.58,335,6525,7600
825,steel stainless 19-9dl,13.389,3.42,502,7241,7800
826,steel stainless 201 and 202,16.318,4.22,502,7943,7700
827,steel stainless 304,14.644,3.68,502,7631,7920
828,steel stainless 316,13.53,3.598,470,7230,8230
829,steel stainless 321 and 347,13.807,3.79,460,7094,7920
830,steel stainless 430 430f and 431,16.736,4.69,460,7726,7750
831,steel stainless 501 and 502,37.656,10.5,460,11626,7800
832,steel stainless ca15 ca40 (cast),25.104,7.17,460,9376,7610
833,steel stainless cb30 cc50 (cast),21.757,5.76,502,9070,7530
834,steel stainless ck ch hi (cast),14.226,3.67,502,7431,7730
835,steel stainless cn-7m (cast),20.92,5.65,460,8798,8040
836,steel stainless ha (cast),29.288,7.56,502,10655,7720
837,steel stainless hc hd (cast),30.962,8.17,502,10834,7550
838,steel stainless he (cast),17.154,3.81,586,8785,7680
839,steel stainless hf (cast),23.012,5.91,502,9463,7750
840,steel stainless hh hl hk (cast),18.828,4.85,502,8548,7730
841,steel stainless ht (cast),19.665,5.37,460,8487,7960
842,steel stainless hu (cast),15.481,4.19,460,7564,8030
843,steel stainless hw (cast),13.389,3.57,460,7086,8150
844,steel stainless series 300,14.644,3.65,502,7670,8000
845,steel stainless series 400,23.43,7.01,431,8847,7750
846,steel ultra high strength type 300-m,57.739,16.5,448,14236,7840
847,strontium,83.68,107,301,8095,2600
848,strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2043,3960
849,strontium titanate (SrO.TiO2) (100 d),5.858,2.14,536,4004,5110
850,strontium titanate (SrO.TiO2) (80 d),2.594,1.21,536,2357,4000
851,strontium titanate + co (co 10),4.602,1.67,502,3565,5500
852,strontium titanate + co (Co 20),6.276,2.16,502,4275,5800
853,strontium titanate + co (co 30),6.694,2.15,502,4565,6200
854,strontium titanate + co (co 40),10.46,3.16,502,5888,6600
855,styrene-butadiene rubber + carbon black,0.243,0.14,1757,653,1000
856,sulfur,0.276,0.19,711,627,2000
857,sulfur dioxide (SO2) (gas),0.009,5.08,636,4,2.927
858,sulfuric acid,0.5,0.1941,1400,1134.9,1840
859,talc,2.971,1.31,816,2600,2790
860,tantalum,71.128,31,138,12769,16600
861,tantalum alloy (Ta62 Nb30 V7.5),27.196,20.1,117,6067,11550
862,tantalum alloy (Ta89 W9 HF2),40.585,26,92,7958,16950
863,tantalum alloy (Ta90 W10),54.392,24,134,11114,16960
864,tantalum alloy (Ta98 Cu0.7 Zr0.7),41.84,18.2,138,9811,16660
865,tantalum alloy (Ta99.5 Nb0.5),45.187,19.8,138,10147,16500
866,tantalum antimonide (TaSb),18.828,8.03,167,6643,14000
867,tantalum beryllide (ta2be17),29.288,6.67,879,11343,5000
868,tantalum beryllide (TaBe12) (hp),41.84,13.2,774,11523,4100
869,tantalum boride (TaB),117.15,46.3,209,17220,12100
870,tantalum boride (TaB2),86.19,31.8,226,15285,12000
871,tantalum carbide (TaC),22.175,8.32,190,7688,14000
872,tantalum carbide + wc cermet k601,66.944,20.9,209,14638,15300
873,tantalum nitride (Ta2N),10.46,5.26,126,4563,15860
874,tantalum nitride (tan),7.95,2.7,205,4838,14360
875,tantalum silicide (TaSi2),37.028,13.4,314,10129,8830
876,tatb h.e. (triamino-trinitro-benzene),0.799,0.41,1047,1254,1880
877,teak wood (across grain),0.142,0.12,2301,420,540
878,teak wood (across grain),0.172,0.12,2301,503,640
879,technicium,12.552,4.5,243,5919,11500
880,teflon,0.251,0.12,1004,740,2170
881,teflon reinforced,0.414,0.21,975,896,1990
882,tellurium,3.347,2.67,201,2048,6240
883,terbium,8.368,5.56,182,3549,8250
884,terbium boride (TbB6) (94.3 pc dense),20.083,6.4,628,7939,5000
885,tetradecafluorohexane,0.057,0.0308,1100,324.8,1680
886,tetryl h.e.,0.286,0.13,1255,783,1710
887,thallium,38.911,25.3,130,7733,11850
888,thallium (liquid),24.686,14.5,151,6479,11290
889,thorium,38.493,28.1,117,7259,11680
890,thorium boride (ThB4),15.899,3.81,494,8144,8450
891,thorium boride (ThB6),43.095,10.1,628,13562,6800
892,thorium carbide (ThC) (80 pc dense),8.786,6.03,172,3579,8500
893,thorium carbide (ThC2) (69 pc dense),24.476,16.7,222,5986,6600
894,thorium oxide (ThO2) (96-100 pc dense),11.715,5.21,234,5133,9600
895,thulium,8.368,5.63,160,3526,9300
896,tin,61.086,37,226,10044,7310
897,tin (liquid),33.472,20.1,243,7460,6850
898,tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,7737,5560
899,tin telluride (snte 60 agsbte2 40),1.778,1.31,209,1555,6500
900,tin telluride (snte 80 agsbte2 20),2.594,1.91,209,1878,6500
901,titanium,20.92,8.89,523,7017,4500
902,titanium alloy (Ti Bal Al4 Mo3 V1),7.531,3.2,523,4210,4500
903,titanium alloy (Ti Bal Al4 Zr3.5),7.531,3.2,523,4210,4500
904,titanium alloy (Ti Bal Al5 Sn2.5),7.113,2.92,544,4163,4480
905,titanium alloy (Ti Bal Al6 V4),7.113,3.06,523,4069,4450
906,titanium alloy (Ti Bal Al8 Mo1 v1),5.858,2.46,544,3731,4370
907,titanium alloy (Ti Bal Cr3.4 Mo2.1),16.318,6.78,523,6266,4600
908,titanium alloy (Ti Bal Sn4.8 Al4.5),7.531,3.2,523,4210,4500
909,titanium alloy (Ti Bal Al2 Mn2),9.623,3.93,544,4853,4500
910,titanium alloy (Ti Bal Al4 Cu2 Zr2),9.205,3.76,544,4746,4500
911,titanium alloy (Ti Bal Al4 Cu4 Sn2),7.95,3.38,523,4325,4500
912,titanium alloy (Ti Bal Al4 V1 Mo0.6),8.368,3.42,544,4526,4500
913,titanium alloy (Ti Bal Al4 V2 Mo1),8.368,3.42,544,4526,4500
914,titanium alloy (Ti Bal Al4 V3 Mo1.5),7.95,3.25,544,4411,4500
915,titanium alloy (Ti Bal Al5 Sn5 Zr5),7.95,3.44,502,4285,4600
916,titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,4706,4600
917,titanium alloy (Ti Bal V14 Cr10 Al4),7.95,2.96,527,4623,5100
918,titanium alloy (Ti Bal V15 Al2.8),8.368,3.31,527,4602,4800
919,titanium alloy (Ti Bal Zr3 Al2),9.958,4.14,523,4895,4600
920,titanium alloy c100m (rc130a) (mn7.9),10.878,4.54,523,5105,4580
921,titanium alloy hylite 40,7.531,3.06,544,4303,4520
922,titanium alloy hylite 50 (imi550),7.531,3.13,523,4257,4600
923,titanium alloy hylite 51 (imi551),6.694,2.78,523,4013,4600
924,titanium alloy hylite 55 (imi),7.531,3.03,523,4330,4760
925,titanium alloy hylite 60 (imi),7.531,3.1,523,4280,4650
926,titanium alloy hylite 65 (imi),7.531,3.08,523,4293,4680
927,titanium alloy imi 679 (sn11 zr5 al2),6.694,2.87,481,3949,4840
928,titanium alloy imi 680 (Sn11 Mo4 Al2),7.113,3.05,481,4070,4840
929,titanium alloy ti140a (Fe2 Cr2 Mo2),11.715,4.87,523,5309,4600
930,titanium alloy ti150a (Cr2.7 Fe1.4),15.899,6.36,544,6307,4600
931,titanium alloy ti155a (Al5 Fe2 Cr1 Mo1),8.368,3.42,544,4526,4500
932,titanium beryllide (tibe12) (hp 95d),23.849,7.62,1423,8641,2200
933,titanium boride (TiB2) (hp 95 pc dens),25.104,8.72,669,8501,4300
934,titanium carbide (TiC) (93 pc dense),16.318,6.29,569,6507,4560
935,titanium carbide (TiC) (96 pc dense),31.38,11.6,569,9200,4740
936,titanium carbide + co (Co18 NbC TaC15),31.38,10.5,544,9689,5500
937,titanium carbide + co (TiC 80 Co 20),35.564,12.1,544,10239,5420
938,titanium carbide + nbc + ni,33.472,11.2,544,10006,5500
939,titanium carbide + ni or co (avg prop),29.288,10.6,460,8993,6000
940,titanium carbide cermet k138a,26.359,8.65,544,8960,5600
941,titanium carbide cermet k151a,22.594,7.16,544,8442,5800
942,titanium carbide cermet k161b,23.43,6.22,628,9393,6000
943,titanium carbide cermet k162b,19.246,5.9,544,7925,6000
944,titanium carbide cermet k163b1,19.665,5.74,544,8209,6300
945,titanium carbide cermet k164b,20.083,5.6,544,8491,6600
946,titanium carbide cermet k165,17.154,5.53,544,7293,5700
947,titanium nitride (TiN) (hp 70-90 dens),25.104,9.26,603,8250,4500
948,titanium oxide (TiO2) (rutile a axis),8.786,3.01,686,5062,4250
949,titanium oxide (TiO2) (rutile c axis),13.389,4.59,686,6249,4250
950,titanium oxide (TiOS2) (rutile 100 d),8.954,3.07,686,5110,4250
951,tnt h.e. (2 4 6-trinitrotoluene) (cast),0.26,0.12,1372,744,1550
952,toluene,0.151,0.1,1720,475,867
953,torlon (PAI),0.54,0.381,970,875,1460
954,tourmaline,4.602,1.77,837,3455,3100
955,tritium (gas),0.096,75.4,4728,11,0.27
956,tungsten,196.65,76.1,134,22543,19300
957,tungsten alloy (W75 Re25),64.852,24.6,134,13079,19700
958,tungsten alloy (W90 Ni6 Cu2-4),77.404,34.6,134,13156,16700
959,tungsten boride (WB),4.602,1.64,176,3597,16000
960,tungsten carbide (WC),41.84,14.6,184,10962,15600
961,tungsten carbide cermet ca2 tool steel,54.392,18.6,209,12622,14000
962,tungsten carbide cermet ca4 tool steel,112.97,38.6,209,18190,14000
963,tungsten carbide cermet carboloy 883,100.42,32.1,209,17722,14950
964,tungsten carbide cermet carboloy 905,100.42,31.8,209,17811,15100
965,tungsten carbide cermet carboloy 999,121.34,38,209,19675,15250
966,tungsten carbide cermet k6 and k96,100.42,32.2,209,17692,14900
967,tungsten carbide cermet k701,53.974,18.4,209,12573,14000
968,tungsten carbide cermet k801 (WC + Ni),82.006,26.5,209,15934,14800
969,tungsten carbide cermet k92,74.057,25.7,209,14622,13800
970,tungsten carbide cermet k94 and k1,91.63,31.1,209,16440,14100
971,tungsten oxide (Wo3) (polyxtal. porous),25.104,11.3,310,7460,7160
972,tungsten selenide (WSe2),3.431,1.52,226,2784,10000
973,tungsten silicide (WSi2) (hp 95 dense),40.585,14,308,10838,9400
974,tungsten telluride (wte2),1.59,0.75,176,1831,12000
975,tungsten titanium carbide k21,44.35,9.57,377,14333,12300
976,tungsten titanium carbide k2s,52.718,10.9,377,16003,12900
977,tungsten titanium carbide k4h,46.861,9.96,377,14853,12500
978,tungsten titanium carbide k5h,35.564,8.21,377,12411,11500
979,tungsten titanium carbide k81,42.677,9.77,377,13654,11600
980,tungsten titanium carbide k84,53.137,12.1,377,15301,11700
981,tungsten titanium carbide k86 k7h k3h,28.033,6.71,377,10825,11100
982,tungsten titanium carbide km,59.831,12.3,377,17049,12900
983,udmh (unsymmetrical dimethylhydrazine),0.16,0.0764,2650,578.9,790
984,uranium,26.443,11.8,117,7694,19100
985,uranium alloy (U82 Zr18),10.878,4.61,167,5067,14100
986,uranium alloy (U90 FS10),15.062,6.54,134,5890,17200
987,uranium alloy (U90 Mo10),12.343,5.34,134,5339,17250
988,uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,6660,17600
989,uranium alloy (U94.4 Cr5.6) (eutectic),28.451,13.9,111,7626,18500
990,uranium alloy (U95 Zr5),18.828,8.57,126,6430,17500
991,uranium alloy (U96 Nb4),22.803,10.3,126,7117,17700
992,uranium alloy (U97 fs3),21.338,9.29,126,7000,18300
993,uranium alloy (U98.5 Zr1.5),22.594,10.4,117,7018,18600
994,uranium alloy mulberry,10.46,4.33,146,5027,16500
995,uranium beryllide (UBe13) (sntrd 61d),20.92,9.26,837,6875,2700
996,uranium boride (UB4),5.021,1.07,502,4863,9380
997,uranium carbide (UC) (arcm or cast 99d),20.083,7.28,203,7444,13600
998,uranium carbide (UC) (avg),23.849,8.71,203,8082,13500
999,uranium carbide (UC) (sintered 90d),17.364,6.96,203,6583,12300
1000,uranium carbide (UC2),33.472,12.6,234,9414,11300
1001,uranium nitride (UN) (hp 95-98 dense),13.807,5.31,188,5990,13800
1002,uranium oxide (U3O8) (prsd at 100 psi),0.297,0.14,276,810,8000
1003,uranium oxide (U3O8) (prsd at 4200 psi),0.544,0.24,276,1116,8300
1004,uranium oxide (UO2) (polyxtal 97 dens),10.042,3.9,243,5083,10600
1005,uranium oxide (UO2) (single crystal),10.46,3.93,243,5275,10960
1006,uranium oxide + cr (UO2 8Ovol) (97 d),15.899,4.75,335,7295,10000
1007,uranium oxide + mo (UO2 70 vol) (92 d),20.083,6,335,8199,10000
1008,uranium oxide + mo (UO2  vol) (91 d),13.807,4.13,335,6798,10000
1009,uranium oxide + mo (UO2  vol) (94 d),18.41,5.5,335,7850,10000
1010,uranium oxide + nb (UO2 80 vol),9.623,2.88,335,5675,10000
1011,uranium oxide + st steel (UO2 70 vol),7.95,2.38,335,5158,10000
1012,uranium oxide + st steel (UO2 80 vol),6.276,1.88,335,4583,10000
1013,uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,3727,4000
1014,uranium oxide + zr (UO2 80 Zr 20),10.878,5.15,243,4795,8710
1015,uranium plutonium oxide (4UO2.PuO2),7.615,2.73,264,4613,10600
1016,uranium silicide (U3Si),16.736,6.17,176,6740,15450
1017,urea-formaldehyde molded,0.126,0.05,1674,561,1500
1018,urea-formaldehyde alpha cellulose fllr,0.377,0.15,1674,972,1500
1019,vanadium,30.794,11,460,9298,6100
1020,vanadium beryllide (VBe12) (85 pc dens),30.962,11.1,1464,9280,1900
1021,vanadium boride (vb2),56.902,17,661,13810,5070
1022,vanadium carbide (VC),36.401,12.5,519,10284,5600
1023,vanadium nitride (VN),12.134,3.4,586,6585,6100
1024,vegetable oil,0.15,0.0833,2000,519.7,900
1025,vermiculite brick,0.167,0.41,837,261,485
1026,vermiculite expanded,0.069,0.31,753,125,300
1027,vermiculite expanded,0.071,0.43,753,109,220
1028,vermiculite insulating powder,0.121,0.54,837,166,270
1029,vycor glass,1.339,0.82,745,1478,2190
1030,water (H2O) (liquid),0.603,0.14,4184,1588,1000
1031,water (H2O) (solid - ice),2.092,0.54,4217,2844,917
1032,water heavy (d2o) (liquid),0.561,0.12,4205,1610,1100
1033,white fir wood (across grain),0.109,0.11,2301,336,450
1034,white pine wood (across grain),0.13,0.11,2301,398,530
1035,window glass - lime,1.318,0.71,753,1569,2480
1036,wood maple (across grain),0.176,0.11,2301,536,710
1037,xenon,0.006,6.27,159,2,5.887
1038,ytterbium,8.368,8.05,149,2949,7000
1039,ytterbium boride (YbB6) (90.6 pc dense),25.104,8,628,8876,5000
1040,yttrium,12.552,9.59,293,4054,4470
1041,yttrium boride (YB6) (98.4 pc dense),29.288,13,628,8135,3600
1042,yttrium oxide (Y2O3) (96-100 pc dense),14.226,6.36,448,5643,5000
1043,zilloy 15,104.6,36.3,402,17369,7180
1044,zinc,111.71,40.2,389,17617,7140
1045,zinc (liquid),59.413,17.4,502,14243,6800
1046,zinc alloy astm b69,107.53,38.3,393,17377,7140
1047,zinc antimonide (ZnSb),2.343,1.37,272,2004,6300
1048,zinc ferrite (ZnO.Fe2O3),4.017,1.29,586,3541,5330
1049,zinc oxide (ZnO),27.196,9.78,494,8694,5630
1050,zinc sulfide (ZnS) (cubic crystal),25.941,13.4,473,7091,4100
1051,zinc-aluminum alloy astm 23,112.97,40.9,418,17662,6600
1052,zinc-aluminum-copper alloy astm 25,108.78,38.8,418,17463,6700
1053,zircon porcelain (high k),5.858,2.56,586,3658,3900
1054,zirconium,31.38,17,285,7618,6500
1055,zirconium alloy 3zi (Zr97 Al1 Sn1 Mo1),8.368,4.55,285,3922,6460
1056,zirconium alloys zircalloy 2 and 3,13.807,7.19,293,5151,6560
1057,zirconium beryllide (ZrBe13),39.748,12.7,1138,11153,2750
1058,zirconium boride (ZrB2) (hp 97 pc den),25.104,10.2,418,7872,5900
1059,zirconium carbide (ZrC) (hp or snt 94d),33.472,15.2,368,8599,6000
1060,zirconium hydride (ZrH + ZrH2),18.41,9.44,310,5992,6300
1061,zirconium nitride (ZrN),8.786,3.36,385,4796,6800
1062,zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,5116,6500
1063,zirconium oxide (Y2O3 12 Zr 8) (97 d),2.469,1.02,439,2442,5500
1064,zirconium oxide (ZrO2 96 CaO 6 91 d),1.59,0.69,456,1919,5080
1065,zirconium oxide (ZrO2) (monoc. 100 d),1.849,0.73,456,2166,5560
1066,zirconium oxide + ti cermet zt-15-m,6.276,2.48,444,3983,5700
1067,zirconium silicate (ZrO2.SiO2) (100 d),6.276,2.51,544,3963,4600
1068,zirconium silicate (ZrO2.SiO2) (single crystal),4.184,1.67,544,3235,4600
